T,P,W,H,HU
74,35,33,20,100
9,64,59,40,75
45,79,14,58,36
41,24,16,34,89
56,17,6,59,37
33,65,45,82,52
31,54,31,48,87
2,13,9,52,94
3,80,80,33,37
6,50,5,90,65
98,58,10,61,38
95,18,8,76,83
65,47,25,54,24
97,26,86,90,31
19,91,27,90,64
93,21,34,81,20
25,76,85,15,31
92,10,94,63,46
2,8,54,47,20
13,34,65,57,97
67,89,18,32,40
76,19,7,11,73
97,64,83,50,45
54,33,17,43,47
13,62,39,24,41
43,45,91,95,76
26,20,68,45,80
4,93,67,89,14
68,86,73,69,96
28,14,99,14,93
97,36,77,16,22
69,78,88,90,1
20,83,43,10,80
84,77,43,88,6
26,56,27,66,71
37,29,35,78,52
58,87,10,78,48
80,48,66,3,38
30,58,71,80,1
74,52,91,70,51
85,83,53,41,65
81,64,48,66,13
98,42,85,22,32
72,50,21,3,28
77,84,18,63,39
72,6,51,17,23
12,56,37,46,32
9,82,22,31,83
70,12,48,74,10
59,98,88,12,25
41,86,69,74,20
50,4,93,1,26
70,64,29,86,66
21,38,20,28,4
52,66,33,89,26
36,71,15,60,95
93,81,81,23,72
18,52,16,41,74
63,18,88,6,59
72,98,79,92,45
98,82,79,99,11
49,89,1,28,67
31,84,63,78,11
39,36,55,24,28
86,50,6,34,64
58,53,7,57,2
48,45,9,90,5
63,58,55,18,18
26,69,22,7,60
30,56,67,40,51
90,17,97,98,49
99,77,55,8,74
61,93,65,77,64
88,68,47,80,6
3,44,19,44,6
91,28,75,57,54
41,56,18,65,59
60,16,8,17,6
54,12,60,68,83
79,29,75,24,34
82,31,44,18,66
35,84,36,18,77
8,94,89,84,76
10,39,89,63,78
88,39,83,88,40
84,50,96,27,11
61,33,64,24,58
19,13,57,25,85
43,1,4,87,17
87,37,4,20,67
40,10,83,79,59
15,2,85,57,54
66,86,28,95,25
63,69,38,70,21
97,82,38,48,35
92,7,42,13,22
34,6,21,77,93
14,40,80,75,32
66,27,91,96,75
22,53,20,81,36
64,5,86,12,69
27,1,86,30,24
30,67,55,84,81
12,54,65,44,96
44,84,53,58,69
89,96,87,65,58
40,35,29,17,27
2,35,65,49,15
42,9,49,50,92
78,97,80,25,68
24,31,74,58,98
40,98,60,16,28
38,85,25,60,55
28,95,16,32,46
